Customer ID,Customer Name,Segment
AB-1025518,Alejandro Ballentine,Home Office
RD-1966082,Robert Dilbeck,Home Office
BP-1118582,Ben Peterman,Corporate
MC-1757555,Matt Collins,Consumer
DM-1295598,Dario Medina,Corporate
EM-1381082,Eleni McCrary,Corporate
FM-1429055,Frank Merwin,Home Office
MC-1727539,Marc Crier,Consumer
DR-1294039,Daniel Raglin,Home Office
CK-123255,Christine Kargatis,Home Office
MM-1805582,Michelle Moray,Consumer
TR-2132518,Toby Ritter,Consumer
MH-1762093,Matt Hagelstein,Corporate
BC-1112528,Becky Castell,Home Office
VG-2179039,Vivek Gonzalez,Consumer
JO-1555018,Jesus Ocampo,Home Office
BG-1174082,Bruce Geld,Consumer
GZ-1454582,George Zrebassa,Corporate
KD-1649582,Keith Dawkins,Corporate
PM-1894031,Paul MacIntyre,Consumer
BV-1124528,Benjamin Venier,Corporate
JS-1594055,Joni Sundaresam,Home Office
MB-1808582,Mick Brown,Consumer
DS-1318018,David Smith,Corporate
SP-2065028,Stephanie Phelps,Corporate
MF-1766551,Maureen Fritzler,Corporate
TM-2149039,Tony Molinari,Consumer
KC-1667518,Kimberly Carter,Corporate
EH-1399018,Erica Hackney,Consumer
MO-1780051,Meg O'Connel,Home Office
FC-1424528,Frank Carlisle,Home Office
MP-1747082,Mark Packer,Home Office
EH-1376555,Edward Hooks,Corporate
JR-1570036,Jocasta Rupert,Consumer
AP-1091536,Arthur Prichep,Consumer
DK-1289518,Dana Kaydos,Consumer
TB-2135555,Todd Boyes,Corporate
CD-1192026,Carlos Daly,Consumer
IL-1510082,Ivan Liston,Consumer
DC-1328531,Debra Catini,Consumer
JH-1543055,Jennifer Halladay,Consumer
ML-1739531,Marina Lichtenstein,Corporate
SM-2032036,Sean Miller,Home Office
EB-1370528,Ed Braxton,Corporate
BF-1127598,Beth Fritzler,Corporate
BS-1166555,Brian Stugart,Consumer
BF-1121593,Benjamin Farhat,Home Office
DC-1285018,Dan Campbell,Consumer
KN-1639031,Katherine Nockton,Corporate
BS-1138098,Bill Stewart,Corporate
SZ-2003593,Sam Zeldin,Home Office
PG-1882039,Patrick Gardner,Consumer
BW-1120018,Ben Wallace,Consumer
CA-1277531,Cynthia Arntzen,Consumer
EH-1418531,Evan Henry,Consumer
MC-1760551,Matt Connell,Corporate
ES-1408018,Erin Smith,Corporate
CC-1247555,Cindy Chapman,Consumer
TS-21610141,Troy Staebel,Consumer
DB-1336055,Dennis Bolton,Home Office
LD-1700598,Lisa DeCherney,Consumer
PW-1924082,Pierre Wener,Consumer
GD-1459082,Giulietta Dortch,Corporate
CS-1225051,Chris Selesnick,Corporate
RA-1991582,Russell Applegate,Consumer
SC-2077093,Stewart Carmichael,Corporate
BP-1109518,Bart Pistole,Corporate
TP-2141531,Tom Prescott,Consumer
EK-1379582,Eileen Kiefer,Home Office
LB-1673555,Larry Blacks,Consumer
JL-1550551,Jeremy Lonsdale,Consumer
DV-1346593,Dianna Vittorini,Consumer
MW-1822039,Mitch Webber,Consumer
AB-1001593,Aaron Bergman,Consumer
BT-1148518,Brad Thomas,Home Office
JD-1615039,Justin Deggeller,Corporate
BF-1108082,Bart Folk,Consumer
DV-1346539,Dianna Vittorini,Consumer
MC-1727593,Marc Crier,Consumer
DB-1366098,Duane Benoit,Consumer
JB-15400101,Jennifer Braxton,Corporate
VG-2180593,Vivek Grady,Corporate
PO-1885036,Patrick O'Brill,Consumer
LC-1714055,Logan Currie,Consumer
MM-1792018,Michael Moore,Consumer
HA-1492051,Helen Andreada,Consumer
LC-1688582,Lena Creighton,Consumer
MY-1738031,Maribeth Yedwab,Corporate
DB-1291051,Daniel Byrd,Home Office
AC-1042082,Alyssa Crouse,Corporate
MC-1810018,Mick Crebagga,Consumer
JG-1516036,James Galang,Consumer
SG-2089051,Susan Gilcrest,Corporate
EB-1370539,Ed Braxton,Corporate
AR-1057082,Anemone Ratner,Consumer
CM-1271598,Craig Molinari,Corporate
NP-1868518,Nora Pelletier,Home Office
DS-1318082,David Smith,Corporate
DB-1355518,Dorothy Badders,Corporate
SU-2066598,Stephanie Ulpright,Home Office
RD-1993026,Russell D'Ascenzo,Consumer
PW-1903054,Pauline Webber,Corporate
JK-1612036,Julie Kriz,Home Office
SH-1997582,Sally Hughsby,Corporate
SB-2018518,Sarah Brown,Consumer
BS-1180082,Bryan Spruell,Home Office
CM-1219093,Charlotte Melton,Consumer
CT-1199528,Carol Triggs,Consumer
CB-1253555,Claudia Bergmann,Corporate
GK-14620101,Grace Kelly,Corporate
DJ-1342028,Denny Joy,Corporate
BD-1132082,Bill Donatelli,Consumer
MV-1819018,Mike Vittorini,Consumer
CM-1183055,Cari MacIntyre,Corporate
BF-1102082,Barry Französisch,Corporate
JO-1528028,Jas O'Carroll,Consumer
JH-1543039,Jennifer Halladay,Consumer
JW-1595531,Joni Wasserman,Consumer
QJ-1925555,Quincy Jones,Corporate
NB-1865539,Nona Balk,Corporate
EH-1412555,Eugene Hildebrand,Home Office
ML-1741082,Maris LaWare,Consumer
BD-1172582,Bruce Degenhardt,Consumer
RA-1928551,Ralph Arnett,Consumer
PK-1891039,Paul Knutson,Home Office
BD-1177039,Bryan Davis,Consumer
TC-2114593,Theresa Coyne,Corporate
AW-1084082,Anthony Witt,Consumer
BH-1171039,Brosina Hoffman,Consumer
RD-1972082,Roger Demir,Consumer
BB-1154518,Brenda Bowman,Corporate
PJ-1883582,Patrick Jones,Corporate
BE-11410143,Bobby Elias,Consumer
TB-2117582,Thomas Boland,Corporate
BS-1138082,Bill Stewart,Corporate
LR-1703536,Lisa Ryan,Corporate
FW-1439593,Fred Wasserman,Corporate
NF-1847593,Neil Französisch,Home Office
SL-2015518,Sara Luxemburg,Home Office
CB-1253531,Claudia Bergmann,Corporate
MC-1727582,Marc Crier,Consumer
TB-2105518,Ted Butterfield,Consumer
BO-1135082,Bill Overfelt,Corporate
JK-1562582,Jim Karlsson,Consumer
CS-1225093,Chris Selesnick,Corporate
AW-1084093,Anthony Witt,Consumer
JF-1535582,Jay Fein,Consumer
EM-1414082,Eugene Moren,Home Office
HR-1483018,Harold Ryan,Corporate
RD-1972036,Roger Demir,Consumer
SH-2063518,Stefanie Holloman,Corporate
EM-1420039,Evan Minnotte,Home Office
AG-1049554,Andrew Gjertsen,Corporate
HR-1483082,Harold Ryan,Corporate
DV-1304582,Darrin Van Huff,Corporate
AS-1028539,Alejandro Savely,Corporate
KC-1654082,Kelly Collister,Consumer
NP-1870082,Nora Preis,Consumer
MA-1756082,Matt Abelman,Home Office
CJ-118755,Carl Jackson,Corporate
MC-1727536,Marc Crier,Consumer
DL-1331582,Delfina Latchford,Consumer
PS-1897028,Paul Stevenson,Home Office
AZ-1075093,Annie Zypern,Consumer
VP-2173093,Victor Preis,Home Office
TC-2153551,Tracy Collins,Home Office
HE-1480028,Harold Engle,Corporate
FH-1435039,Fred Harton,Consumer
SD-2048582,Shirley Daniels,Home Office
AP-1091593,Arthur Prichep,Consumer
JH-1598536,Joseph Holt,Consumer
HM-1486082,Harry Marie,Corporate
RB-1964518,Robert Barroso,Corporate
RK-1930036,Ralph Kennedy,Consumer
TZ-2144551,Tom Zandusky,Corporate
RP-1939016,Resi Pölking,Consumer
CD-1279082,Cynthia Delaney,Home Office
SP-209205,Susan Pistek,Consumer
RL-1961582,Rob Lucas,Consumer
JH-1582039,John Huston,Consumer
MG-1814593,Mike Gockenbach,Consumer
VF-2171539,Vicky Freymann,Home Office
AB-1016531,Alan Barnes,Consumer
JP-1552028,Jeremy Pistek,Consumer
CC-1247518,Cindy Chapman,Consumer
JE-1574539,Joel Eaton,Consumer
FC-14245141,Frank Carlisle,Home Office
JW-1522018,Jane Waco,Corporate
TT-21265143,Tim Taslimi,Corporate
TP-2156531,Tracy Poddar,Corporate
DB-1340582,Denny Blanton,Consumer
JM-1586555,John Murray,Consumer
FO-1430582,Frank Olsen,Consumer
CS-1249055,Cindy Schnelling,Corporate
MS-1777018,Maxwell Schwartz,Consumer
DV-1304554,Darrin Van Huff,Corporate
HH-1501051,Hilary Holden,Corporate
SG-2089093,Susan Gilcrest,Corporate
MZ-1733555,Maria Zettner,Home Office
AG-1076598,Anthony Garverick,Home Office
DW-1348018,Dianna Wilson,Home Office
MH-1744082,Mark Haberlin,Corporate
SM-2000539,Sally Matthias,Consumer
DB-1361582,Doug Bickford,Consumer
LH-171555,Logan Haushalter,Consumer
VF-2171555,Vicky Freymann,Home Office
MF-1825031,Monica Federle,Corporate
BW-1120026,Ben Wallace,Consumer
JD-1579031,John Dryer,Consumer
JD-1579082,John Dryer,Consumer
GH-1448582,Gene Hale,Corporate
TH-2155082,Tracy Hopkins,Home Office
PR-1888082,Patrick Ryan,Consumer
AF-1088536,Art Foster,Consumer
CR-1273018,Craig Reiter,Consumer
BD-1150093,Bradley Drucker,Consumer
TB-2117539,Thomas Boland,Corporate
MS-1736582,Maribeth Schnelling,Consumer
OT-1873026,Olvera Toch,Consumer
CR-1282051,Cyra Reiten,Home Office
BF-1097518,Barbara Fisher,Corporate
TM-2149031,Tony Molinari,Consumer
LH-1675082,Larry Hughes,Consumer
JG-1531031,Jason Gross,Corporate
BF-1121551,Benjamin Farhat,Home Office
CC-1255036,Clay Cheatham,Consumer
JS-1588036,John Stevenson,Consumer
CA-1226551,Christina Anderson,Consumer
FW-1439582,Fred Wasserman,Corporate
GM-1445531,Gary Mitchum,Home Office
MM-1792036,Michael Moore,Consumer
PO-1885051,Patrick O'Brill,Consumer
JM-1558026,Jill Matthias,Consumer
SS-2014098,Saphhira Shifley,Corporate
FM-1421551,Filia McAdams,Corporate
AF-1087031,Art Ferguson,Consumer
BP-1109582,Bart Pistole,Corporate
SW-2027555,Scott Williamson,Consumer
JD-1589582,Jonathan Doherty,Corporate
DC-1328582,Debra Catini,Consumer
MW-1822018,Mitch Webber,Consumer
RD-1958582,Rob Dowd,Consumer
EL-1373582,Ed Ludwig,Home Office
HF-1499518,Herbert Flentye,Consumer
GZ-1447051,Gary Zandusky,Consumer
PL-1892551,Paul Lucas,Home Office
CK-1232593,Christine Kargatis,Home Office
NC-1841528,Nathan Cano,Consumer
MG-1769582,Maureen Gnade,Consumer
JS-1568555,Jim Sink,Corporate
KS-1630031,Karen Seio,Corporate
TN-2104028,Tanja Norvell,Home Office
AH-1012082,Adrian Hane,Home Office
EH-1400518,Erica Hernandez,Home Office
ZC-2191039,Zuschuss Carroll,Consumer
JB-1600018,Joy Bell-,Consumer
TM-2149082,Tony Molinari,Consumer
CA-1277518,Cynthia Arntzen,Consumer
MH-1729082,Marc Harrigan,Home Office
BH-1171082,Brosina Hoffman,Consumer
FH-1435082,Fred Harton,Consumer
MC-1784582,Michael Chen,Consumer
RF-1984093,Roy Französisch,Consumer
PK-1891082,Paul Knutson,Home Office
JR-1621031,Justin Ritter,Corporate
MV-1819093,Mike Vittorini,Consumer
NP-1868582,Nora Pelletier,Home Office
LH-1702031,Lisa Hazard,Consumer
BN-1147093,Brad Norvell,Corporate
AS-10090101,Adam Shillingsburg,Consumer
DK-1298536,Darren Koutras,Consumer
SN-2071093,Steve Nguyen,Home Office
CB-1253593,Claudia Bergmann,Corporate
DK-1337582,Dennis Kane,Consumer
ME-1801036,Michelle Ellison,Corporate
MS-1798028,Michael Stewart,Corporate
PH-1879051,Patricia Hirasaki,Home Office
AH-1069093,Anna Häberlin,Corporate
MC-18130100,Mike Caudle,Corporate
AO-1081018,Anthony O'Donnell,Corporate
PF-1922518,Phillip Flathmann,Consumer
CK-12595141,Clytie Kelty,Consumer
MO-1780098,Meg O'Connel,Home Office
LS-1694531,Linda Southworth,Corporate
RB-1946531,Rick Bensley,Home Office
RS-1942018,Ricardo Sperren,Corporate
KD-1661531,Ken Dana,Corporate
TC-2129539,Toby Carlisle,Consumer
SW-2035098,Sean Wendt,Home Office
RB-1979536,Ross Baird,Home Office
FM-1429036,Frank Merwin,Home Office
AD-1018082,Alan Dominguez,Home Office
AG-1033054,Alex Grayson,Consumer
BT-1130518,Beth Thompson,Home Office
CC-12550101,Clay Cheatham,Consumer
HK-1489055,Heather Kirkland,Corporate
GH-1441082,Gary Hansen,Home Office
JR-1570082,Jocasta Rupert,Consumer
ES-1402082,Erica Smith,Consumer
DC-1328518,Debra Catini,Consumer
BF-1100536,Barry Franz,Home Office
TA-2138518,Tom Ashbrook,Home Office
AS-1028518,Alejandro Savely,Corporate
GG-1465051,Greg Guthrie,Corporate
MS-1771082,Maurice Satty,Consumer
GM-1450039,Gene McClure,Consumer
DP-1310598,Dave Poirier,Corporate
JF-1519026,Jamie Frazer,Consumer
BT-1144018,Bobby Trafton,Consumer
LL-1684039,Lauren Leatherbury,Consumer
SE-2011028,Sanjit Engle,Consumer
MP-1796531,Michael Paige,Corporate
GB-1457536,Giulietta Baptist,Consumer
JD-1589518,Jonathan Doherty,Corporate
EB-1417036,Evan Bailliet,Consumer
CB-1202528,Cassandra Brandow,Consumer
JK-1564036,Jim Kriz,Home Office
KM-1672051,Kunst Miller,Consumer
MC-1759098,Matt Collister,Corporate
MC-1757531,Matt Collins,Consumer
MH-1745582,Mark Hamilton,Consumer
JE-1547536,Jeremy Ellison,Consumer
EM-1409582,Eudokia Martin,Corporate
EG-1390082,Emily Grady,Consumer
JJ-1576018,Joel Jenkins,Home Office
AF-1087018,Art Ferguson,Consumer
DD-1357018,Dorothy Dickinson,Consumer
BP-1123028,Benjamin Patterson,Consumer
MP-1747028,Mark Packer,Home Office
JL-1550526,Jeremy Lonsdale,Consumer
JE-1616518,Justin Ellison,Corporate
HH-1501039,Hilary Holden,Corporate
MM-1726039,Magdelene Morse,Consumer
CK-1259536,Clytie Kelty,Consumer
BS-1136565,Bill Shonely,Corporate
KH-1636098,Katherine Hughes,Consumer
RA-1994551,Ryan Akin,Consumer
CK-1232516,Christine Kargatis,Home Office
BN-1151582,Bradley Nguyen,Consumer
RH-1960055,Rob Haberlin,Consumer
JD-1615082,Justin Deggeller,Corporate
SC-206955,Steve Chapman,Corporate
FH-1435018,Fred Harton,Consumer
AY-1055551,Andy Yotov,Corporate
JG-1531028,Jason Gross,Corporate
JG-1516082,James Galang,Consumer
JK-1564093,Jim Kriz,Home Office
JD-1601539,Joy Daniels,Consumer
MS-178305,Melanie Seite,Consumer
JF-1541582,Jennifer Ferguson,Consumer
LB-16735143,Larry Blacks,Consumer
TS-2165516,Trudy Schmidt,Consumer
RD-1990036,Ruben Dartt,Consumer
SW-2035031,Sean Wendt,Home Office
DD-1357098,Dorothy Dickinson,Consumer
BT-1168026,Brian Thompson,Consumer
TG-216405,Trudy Glocke,Consumer
BC-1112555,Becky Castell,Home Office
NL-1831031,Nancy Lomonaco,Home Office
TH-2111518,Thea Hudgings,Corporate
DB-1366028,Duane Benoit,Consumer
DM-1295555,Dario Medina,Corporate
MB-1730518,Maria Bertelson,Consumer
BG-1169531,Brooke Gillingham,Corporate
NF-1847582,Neil Französisch,Home Office
CC-1214580,Charles Crestani,Consumer
KW-1657082,Kelly Williams,Consumer
MY-1829582,Muhammed Yedwab,Corporate
MS-1783082,Melanie Seite,Consumer
MB-1808531,Mick Brown,Consumer
ZC-2191055,Zuschuss Carroll,Consumer
TT-2146031,Tonja Turnell,Home Office
TS-2150536,Tony Sayre,Consumer
CB-1241518,Christy Brittain,Consumer
DB-1291082,Daniel Byrd,Home Office
PK-1907528,Pete Kriz,Consumer
DE-1325598,Deanra Eno,Home Office
SJ-2050031,Shirley Jackson,Consumer
CA-1226582,Christina Anderson,Consumer
EM-1406582,Erin Mull,Consumer
LS-1694536,Linda Southworth,Corporate
BT-1130526,Beth Thompson,Home Office
JF-1529598,Jason Fortune-,Consumer
JJ-1544582,Jennifer Jackson,Consumer
ME-1801055,Michelle Ellison,Corporate
WB-2185082,William Brown,Consumer
JH-1618082,Justin Hirsh,Consumer
MH-1811555,Mick Hernandez,Home Office
CL-1270082,Craig Leslie,Home Office
NW-1840082,Natalie Webber,Consumer
RA-1988551,Ruben Ausman,Corporate
AH-1069028,Anna Häberlin,Corporate
BF-1102098,Barry Französisch,Corporate
JF-1556518,Jill Fjeld,Consumer
SF-2020039,Sarah Foster,Consumer
SG-2047093,Sheri Gordon,Consumer
FW-1439555,Fred Wasserman,Corporate
CD-1228036,Christina DeMoss,Consumer
MS-1736536,Maribeth Schnelling,Consumer
AA-1064531,Anna Andreadi,Consumer
AF-1087026,Art Ferguson,Consumer
AG-1027051,Alejandro Grove,Consumer
SP-208605,Sung Pak,Corporate
MK-1816031,Mike Kennedy,Consumer
JL-151305,Jack Lebron,Consumer
SK-1999018,Sally Knutson,Consumer
SP-2086018,Sung Pak,Corporate
AY-1055539,Andy Yotov,Corporate
FC-1433582,Fred Chung,Corporate
GM-1468018,Greg Matthias,Consumer
JF-1549082,Jeremy Farry,Consumer
BT-1130582,Beth Thompson,Home Office
BS-1136536,Bill Shonely,Corporate
TD-2099598,Tamara Dahlen,Consumer
TB-2117528,Thomas Boland,Corporate
JM-1525082,Janet Martin,Consumer
JP-1613582,Julie Prescott,Home Office
EL-1373536,Ed Ludwig,Home Office
AZ-1075018,Annie Zypern,Consumer
BO-1142518,Bobby Odegard,Consumer
FH-1436582,Fred Hopkins,Corporate
LD-170055,Lisa DeCherney,Consumer
JS-1559593,Jill Stevenson,Corporate
DH-1307536,Dave Hallsten,Corporate
JD-1601536,Joy Daniels,Consumer
MW-1823518,Mitch Willingham,Corporate
CS-1195018,Carlos Soltero,Consumer
SZ-2003551,Sam Zeldin,Home Office
KA-1652539,Kelly Andreada,Consumer
JR-1567082,Jim Radford,Consumer
TS-2165518,Trudy Schmidt,Consumer
CD-1279018,Cynthia Delaney,Home Office
AB-1025582,Alejandro Ballentine,Home Office
AA-1048082,Andrew Allen,Consumer
JL-1517582,James Lanier,Home Office
JG-1511582,Jack Garza,Consumer
PS-1876051,Pamela Stobb,Consumer
MG-176805,Maureen Gastineau,Home Office
MZ-1751528,Mary Zewe,Corporate
RB-1943551,Richard Bierner,Consumer
GT-1475536,Guy Thornton,Consumer
HG-1484539,Harry Greene,Consumer
PA-190605,Pete Armstrong,Home Office
LS-172455,Lynn Smith,Consumer
MM-1805531,Michelle Moray,Consumer
JC-1577539,John Castell,Consumer
AB-1006039,Adam Bellavance,Home Office
RB-1943518,Richard Bierner,Consumer
CM-121905,Charlotte Melton,Consumer
DV-1346518,Dianna Vittorini,Consumer
ME-1732018,Maria Etezadi,Home Office
BK-1126039,Berenike Kampe,Consumer
EB-1417051,Evan Bailliet,Consumer
SZ-2003518,Sam Zeldin,Home Office
MC-1813055,Mike Caudle,Corporate
RF-1934536,Randy Ferguson,Corporate
RA-1994582,Ryan Akin,Consumer
JM-1565555,Jim Mitchum,Corporate
PG-1882082,Patrick Gardner,Consumer
JC-1538518,Jenna Caffey,Consumer
ST-2053016,Shui Tom,Consumer
CM-1223593,Chris McAfee,Consumer
MW-1822012,Mitch Webber,Consumer
